country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Mexico,Additives and Oxygenates - Transformation in oil refineries,2008,"Metric tons,  thousand",879,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2007,"Metric tons,  thousand",950,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2006,"Metric tons,  thousand",830,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2005,"Metric tons,  thousand",775,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2004,"Metric tons,  thousand",745,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2003,"Metric tons,  thousand",766,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2002,"Metric tons,  thousand",771,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2001,"Metric tons,  thousand",670,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2000,"Metric tons,  thousand",547,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1999,"Metric tons,  thousand",751,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1998,"Metric tons,  thousand",859,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1997,"Metric tons,  thousand",677,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1996,"Metric tons,  thousand",457,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1995,"Metric tons,  thousand",438,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1994,"Metric tons,  thousand",438,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1993,"Metric tons,  thousand",328,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1992,"Metric tons,  thousand",214,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1991,"Metric tons,  thousand",267,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,1990,"Metric tons,  thousand",228,,additives_and_oxygenates
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2014,"Metric tons,  thousand",97,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2013,"Metric tons,  thousand",115,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2012,"Metric tons,  thousand",88,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2011,"Metric tons,  thousand",84,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2010,"Metric tons,  thousand",48,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2009,"Metric tons,  thousand",34,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2008,"Metric tons,  thousand",5,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2007,"Metric tons,  thousand",9,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2006,"Metric tons,  thousand",52,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2005,"Metric tons,  thousand",48,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2004,"Metric tons,  thousand",60,,anthracite
Mexico,"Anthracite - consumption by manufacturing, construction and non-fuel industry",2003,"Metric tons,  thousand",65,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2014,"Metric tons,  thousand",97,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2013,"Metric tons,  thousand",115,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2012,"Metric tons,  thousand",88,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2011,"Metric tons,  thousand",84,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2010,"Metric tons,  thousand",48,,anthracite
Mexico,"Anthracite - consumption by other manuf., const. and non-fuel ind.",2009,"Metric tons,  thousand",34,,anthracite
